ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median
76,1014.0,3906.0,2167.953883933408,577.9901384338215,2115.0,1.0,786947.0,4161.19154237839,53751.664305382204,4.0
77,1057.0,4582.0,3028.9103700075693,644.7504760001077,3003.0,1.0,21787.0,150.1577986553275,1384.3724248465521,3.0
78,677.0,3497.0,1895.729158663081,709.9145692472266,1792.0,1.0,1176794.0,7904.871622486874,91518.97493092735,3.0
79,698.0,4424.0,2787.292392647821,840.4591500844928,2825.0,1.0,1176739.0,339.8714764164108,5688.441689434891,3.0
80,1075.0,4796.0,3283.625858625225,871.8817222782134,3325.0,1.0,19748.0,156.49008622789498,1386.0962940970587,4.0
81,950.0,4303.0,2494.8542917500554,748.1912625749662,2549.0,1.0,314997.0,1372.2764064932178,19998.187742411777,4.0
82,950.0,4529.0,2824.635425812116,789.929167627582,2831.0,1.0,332831.0,292.42169666374014,7305.902418001928,4.0
83,846.0,4114.0,2506.6732205456487,747.9075237850302,2580.0,1.0,799600.0,3103.441548544429,48842.44365954994,4.0
84,840.0,3775.0,2788.3184862269395,451.7569947764782,2846.0,1.0,800141.0,181.35980540813748,6448.019371913002,3.0
85,2100.0,3880.0,2842.847847847848,429.3788622303188,2809.0,1.0,155996.0,1450.6736736736736,13712.500164206782,4.0
86,2157.0,4943.0,3851.646121807753,459.6109035775409,3902.0,1.0,271578.0,309.50929816228853,7588.71746200063,3.0
87,2220.0,4619.0,3854.758411609761,352.9134994675013,3879.0,1.0,19451.0,159.7111972565976,1379.7278230869563,3.0
88,2071.0,4107.0,2908.63807890223,447.22584740611114,2891.0,1.0,323989.0,1357.2080236325519,15139.309393767904,4.0
89,2102.0,4675.0,3522.6596268734934,534.054615530651,3538.0,1.0,156141.0,154.1661251441149,2002.6455672095672,3.0
90,1171.0,4161.0,2895.3815696855936,642.7457004768947,3074.0,1.0,39400.0,143.32543406851244,1288.0321427769552,3.0
91,1174.0,4395.0,3157.3641849625906,534.4743453052976,3233.0,1.0,39406.0,210.0169017539556,2196.5884138397223,3.0
92,2557.0,4598.0,3635.6318128784933,425.30086290948447,3668.0,1.0,17413.0,117.71598422134564,1060.8455875561401,3.0
93,2567.0,5591.0,3748.5603259719182,600.3175899383081,3715.0,1.0,54543.0,270.23098497142456,2969.8137242896178,3.0
94,704.0,3848.0,1834.4375976964213,618.8412588161451,1763.0,1.0,385947.0,3536.807651172357,34663.94897299631,4.0
95,539.0,4064.0,1890.0170970913364,640.7960619029909,1874.0,1.0,1190350.0,6317.302400306932,85372.37240276934,4.0
96,553.0,4193.0,2479.0832972196245,838.6642955059541,2701.0,1.0,42290.0,180.1148644025272,1982.9455114635302,3.0
97,819.0,4639.0,2574.3275101251284,635.5484477103697,2577.0,1.0,16096.0,131.56078099498276,1131.8679422909165,3.0
98,588.0,4052.0,2420.750893589113,716.4361945270741,2525.0,1.0,58305.0,223.2849647483194,2660.7827573982363,3.0
99,558.0,3820.0,1721.8535250436378,627.3027420705565,1682.0,1.0,1267050.0,7796.676222596964,95898.99115612067,4.0
100,535.0,3623.0,1833.1539952295766,647.7774893810348,1798.0,1.0,854201.0,4260.457637646591,58939.21418519449,4.0
101,519.0,3079.0,1518.808181096108,487.5993505892415,1473.0,1.0,917129.0,2391.9241461477363,38013.34217889748,3.0
102,1948.0,4256.0,3076.076386890488,454.18617593938654,3076.0,1.0,102178.0,798.2201758593126,8199.736298331189,4.0
103,1943.0,4445.0,2925.455449584332,522.1894674308468,2871.0,1.0,342869.0,2496.8408221553527,28469.632673641067,4.0
104,716.0,4714.0,2243.965758636433,739.8194884960927,2117.0,1.0,25456.0,180.82719525186425,1656.3942348979506,4.0
105,476.0,4709.0,2504.8101177176777,856.2189704906266,2466.0,1.0,977958.0,334.78594057424885,9818.382222915903,4.0
106,1928.0,4693.0,3502.1187205106858,671.499435651922,3550.0,1.0,13960.0,139.13676103247295,1085.1358433222408,3.0
107,881.0,4465.0,2703.392899824253,770.8368160987629,2666.0,1.0,323872.0,156.17370826010546,2925.3190260193232,4.0
108,839.0,4528.0,2626.0040917986125,794.7537509175946,2560.0,1.0,338012.0,2335.010725087046,25708.59791558271,4.0
109,521.0,4143.0,1750.2933173157512,682.4562055299791,1674.0,1.0,436713.0,1514.0074872883724,23991.619850901672,3.0
110,549.0,3966.0,1975.2174436090227,628.5211776809632,1941.0,1.0,16022.0,141.08685714285716,1159.0109316325738,3.0
111,857.0,4611.0,2650.992137289758,698.9977787622814,2663.0,1.0,14105.0,116.75981129495419,945.6432460090975,4.0
112,1637.0,4421.0,3204.483613254653,668.2525742050352,3298.0,1.0,31807.0,203.4303828113179,1851.8950738299359,3.0
113,1615.0,4453.0,2869.445455089462,553.374113581806,2848.0,1.0,48012.0,114.68314284004548,1095.4922305384953,3.0
114,1151.0,4477.0,2666.974278703782,681.8353012853332,2627.0,1.0,34267.0,154.06419042784216,1593.1671053632058,3.0
115,1153.0,4401.0,2725.4939411612236,704.7243198534015,2685.0,1.0,63767.0,181.00398522550543,1692.5842075709074,3.0
116,496.0,3835.0,2109.40482294156,602.7947815775606,2080.0,1.0,22298.0,251.0172061698892,1960.512123249668,3.0
117,469.0,2992.0,1629.7462294373852,472.7721815916114,1652.0,1.0,26813.0,160.20665202836472,1524.5591946318073,3.0
118,410.0,2426.0,1244.688394731819,469.0155428795182,1228.0,1.0,483750.0,4930.575491506012,46194.705318380096,3.0
119,443.0,4579.0,2654.651883768588,882.506455940063,2696.0,1.0,36858.0,242.33027691660973,2328.024734218027,3.0
120,339.0,2896.0,1362.6868931149463,511.61970079396536,1346.0,1.0,1293008.0,10131.016525594518,112616.1436502969,3.0
121,366.0,3445.0,1640.7038769490098,646.2575418303946,1609.0,1.0,997776.0,6769.335103244838,80690.29271122329,3.0
122,358.0,4111.0,1906.7749355049266,751.8451456463513,1849.0,1.0,1028932.0,398.8905914897585,15132.98773394889,3.0
123,1043.0,4693.0,2726.799433479532,680.8418097990452,2638.0,1.0,79291.0,192.14258954678363,2128.915534947863,3.0
124,1040.0,4485.0,2760.170682939496,640.7229198436798,2741.0,1.0,79281.0,223.45549207997922,2251.6898457248194,3.0
125,259.0,2109.0,993.4428698951127,414.82416765985516,969.0,1.0,1381958.0,20317.78185672841,165014.07004235336,4.0
126,270.0,3297.0,1440.2223057130495,546.4077674569631,1421.0,1.0,1275683.0,8754.303982512467,104167.21960377111,3.0
127,265.0,2155.0,1258.3782203940248,359.6813415263922,1277.0,1.0,1382161.0,607.5637583892617,26263.07119134524,3.0
128,337.0,2510.0,1362.5458223394899,401.84773220612436,1372.0,1.0,1293057.0,835.8786866021694,28154.256296621144,3.0
129,240.0,3418.0,1778.236706922946,636.3762932118938,1793.0,1.0,2686388.0,2434.4777002891647,76664.55854483503,3.0
130,493.0,3450.0,1772.109647839235,682.3578557249253,1685.0,1.0,357785.0,3016.377816798361,32102.54881131986,4.0
131,525.0,4227.0,2364.6263376457437,744.042142695953,2460.0,1.0,36210.0,164.1867646275888,1705.43338961564,3.0
132,327.0,3171.0,1685.5236525132898,598.7261086354159,1752.0,1.0,1043289.0,3722.0168225556827,61357.471838915815,3.0
133,330.0,2622.0,1488.2843512732647,463.87757421377546,1479.0,1.0,1043294.0,197.46663979036484,8614.019966333537,4.0
134,257.0,2761.0,1491.3061076604554,538.2526019857935,1530.0,1.0,502327.0,3005.087474120083,38022.87612197243,3.0
135,250.0,4565.0,2548.170343790913,966.4563418413833,2633.0,1.0,920049.0,2268.931904507912,28611.148284293417,4.0
136,637.0,3599.0,1869.2777321531769,494.095871966193,1815.0,1.0,31910.0,168.41396721112022,1661.1049595883624,3.0
137,664.0,4160.0,2066.1032166123778,665.0299213176778,1932.0,1.0,18979.0,166.30445846905536,1394.3521904753986,3.0
138,231.0,4287.0,1983.9304828696738,743.8218195150582,1974.0,1.0,72360.0,195.4670423967625,2130.3169741530805,4.0
139,227.0,3450.0,1289.2175170867538,748.2773686640086,1159.0,1.0,23740.0,158.66202581998337,1374.8790198473755,3.0
140,322.0,2778.0,1481.2153032153033,559.3912162396766,1519.0,1.0,69878.0,479.0747863247863,4877.641414017591,3.0
141,315.0,2673.0,1608.1311161948988,494.3082125118536,1690.0,1.0,98130.0,205.98582989039505,2083.2045243689654,3.0
142,212.0,2476.0,1157.2190535136165,427.90061793317614,1136.0,1.0,2727468.0,933.2513330794135,45822.76680772943,3.0
143,203.0,2266.0,963.710290775866,410.3338438784996,963.0,1.0,2707082.0,16564.77507767936,210277.4550516395,3.0
144,258.0,2963.0,1493.9987149070778,525.9208553044997,1475.0,1.0,108787.0,850.725056016871,8855.318368911649,4.0
145,249.0,2473.0,1111.3245882352942,488.22689595780685,1068.0,1.0,1074422.0,8322.985411764706,93632.89412408641,4.0
146,609.0,3516.0,1810.448717678545,509.9474127181134,1789.0,1.0,93782.0,719.1899985248562,7103.849144578946,3.0
147,592.0,3978.0,2116.3553899082567,696.3518854386598,2071.5,1.0,119224.0,233.1328363914373,2542.758114383725,3.0
148,258.0,3127.0,1256.1933837529089,556.3266983080003,1201.0,1.0,430673.0,2644.845700232706,32686.16135071139,4.0
