ws_id,longitude,latitude,area_sqkm,perimeter_km,geometry_count,SHAPE__Len,SHAPE__Are,f_area,area_ha
155,89.48697127556918,26.8595657980413,1.1881153837319426e-08,0.000581630950600222,1,68084.2242813,165036258.643,103378824.986,13083.3783461715
156,89.85317293936023,26.931834579093493,2.453043379899584e-08,0.001065306379137346,1,126329.469322,340960706.471,269941805.567,26994.1805567076
157,90.0084848680571,26.856309080283907,1.5447032868023843e-08,0.0008861545527942734,1,103778.202049,214562324.16,170095257.11,17009.5257109815
158,89.59324528333968,26.980835386844273,6.665651332025227e-08,0.00184751252294399,1,218444.328433,926897047.613,729832903.026,73322.5308400602
159,89.7452141780537,26.90460804524098,3.025694325120297e-08,0.0010473148452609677,1,124472.763411,420454922.882,333040478.301,33304.0478301247
160,88.99969299935694,26.960458505110303,4.173424550751382e-09,0.000394596927125928,1,46803.8380204,58023162.6763,45925183.8034,4592.53508782402
161,90.85177776719658,26.80464168934139,4.211228128806495e-09,0.00035310196280319614,1,41022.3643811,58468060.3446,46396931.0379,4639.69310378859
162,90.94226622592159,26.807698491444533,4.832257249375118e-09,0.00039689822596967745,1,46048.5699171,67092170.455,42257229.5043,5324.35307818374
163,91.13290316080459,26.827459917091872,6.38167806261386e-09,0.0005649356365855841,1,65562.1260947,88620101.3889,70310433.5246,7031.04335246233
164,90.602292274632,26.888339333879088,1.9101915113619114e-08,0.0008635623596067874,1,101380.943381,265404554.088,210300768.912,21030.0768912293
165,90.69835278435158,26.86677199047589,1.6696084167282796e-08,0.0008709344336777854,1,102430.958603,231933342.167,168601301.586,18385.3825055113
166,91.88691980769401,27.001097384264902,1.6030639752223772e-08,0.0007894873327415683,1,92955.7250928,222954767.529,176452554.953,17645.255495285
167,91.96665448274747,26.92350117029862,6.557760146172882e-09,0.00045207110351691706,1,53177.1899594,91142711.2187,72236683.0229,7223.668302287
168,91.70227838977301,26.894792725799466,2.3973575397548184e-08,0.0008860805811730938,1,103888.650478,333111024.228,258136130.452,26408.2700734476
169,90.32746475102971,26.898449483449998,5.733893693199277e-09,0.00046931311150282933,1,55043.3436989,79674519.6462,62434179.3655,6311.70978092253
170,89.09779749107585,26.96343742282362,1.9580375382622978e-08,0.0008512804730031729,1,100226.199777,272233543.446,215451958.483,21545.1958482556
171,91.58515521520047,26.845128607720305,3.97580090037567e-09,0.0004309104071400677,1,50906.9521554,55219181.4019,43809914.5233,4380.99145232747
172,91.52788344219697,26.85310019553078,9.469603100179448e-09,0.0006023688722885433,1,70830.3944665,131530913.812,104336790.954,10433.6790953571
173,90.76638782747483,26.82501207810182,9.107563823626682e-09,0.0005672478668849718,1,66549.4750044,126470885.277,77088531.5545,10032.9208148622
174,91.34510713173874,26.820151535996708,5.256031975007144e-09,0.0003765341657700632,1,44068.4334009,72983888.8061,43320931.182,5791.99051536352
175,89.16709707160291,26.85549205798398,9.530134385413528e-09,0.0005043146698337531,1,59015.7113962,132374389.564,81367865.8584,10495.9338999255
176,92.03911802358823,26.885173325105598,7.181468170665703e-09,0.00046503854169046107,1,54314.403042,99777401.9921,55976141.7246,7913.83411616927
177,90.50151280791844,26.91326347935825,9.872650558022327e-09,0.0006599965134578655,1,77444.2442906,137202048.845,108665499.541,10866.5499540927
178,89.72222089278198,26.739830166575217,6.039650442998857e-09,0.0006027904052064455,1,70240.8706199,83805812.4618,49773981.9889,6657.37531424902
179,89.89702883855604,26.764366423105997,2.0716618160992707e-08,0.0009222090857325067,1,107468.934166,287524548.811,226306338.672,22830.0265549227
180,90.0514339161825,26.77315832338475,4.625116603952615e-09,0.00044550667329274553,1,52107.3281865,64196529.0877,50964524.7559,5096.45247559365
181,90.12721099868241,26.797810342544814,1.0277271621706181e-08,0.0005195134274437085,1,60801.7496479,142679460.593,113185980.765,11322.4564119219
182,90.23578468570325,26.916367005417637,2.0286369589745762e-08,0.0008740374365598923,1,103077.140454,281931371.919,223269206.014,22327.0066383582
183,90.3819750803517,26.95820232906378,8.47583017260955e-09,0.0005834995395409739,1,68574.4663498,117837237.229,92477980.3342,9325.24891666983
184,91.44930792813426,26.913444832963354,2.814487527243819e-08,0.0012246415524304274,1,143491.728489,391135428.314,309922044.933,30992.2044932785
185,91.79212847910028,26.885322582372257,5.4770956507407815e-09,0.0004883260652000596,1,57640.4007657,76097407.4822,60342961.9043,6034.29619042508
186,91.82488133242903,26.958262475485263,6.213850613363551e-09,0.000559096331384488,1,66156.7106844,86389224.9142,68418108.2136,6841.81082135546
