ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median,slope_mean_deg,slope_p90_deg,pct_slope_gt_15,pct_slope_gt_30,relief_m
80,1075.0,4796.0,3283.625858625225,871.8817222782134,3325.0,1.0,19748.0,156.49008622789498,1386.0962940970587,4.0,26.64479709650704,40.492216491699224,82.39879183514395,40.580698592098216,3721.0
81,950.0,4303.0,2494.8542917500554,748.1912625749662,2549.0,1.0,314997.0,1372.2764064932178,19998.187742411777,4.0,26.13415193462308,37.52376861572266,89.77651767845231,32.410495886146315,3353.0
82,950.0,4529.0,2824.635425812116,789.929167627582,2831.0,1.0,332831.0,292.42169666374014,7305.902418001928,4.0,25.960750589881474,35.90676574707032,91.01185250219491,31.068920105355573,3579.0
83,846.0,4114.0,2506.6732205456487,747.9075237850302,2580.0,1.0,799600.0,3103.441548544429,48842.44365954994,4.0,23.889448540618808,35.99455223083496,83.53909465020575,23.93689986282579,3268.0
84,840.0,3775.0,2788.3184862269395,451.7569947764782,2846.0,1.0,800141.0,181.35980540813748,6448.019371913002,3.0,16.668236274323984,27.65236473083496,54.66262319939348,6.627495577457671,2935.0
85,2100.0,3880.0,2842.847847847848,429.3788622303188,2809.0,1.0,155996.0,1450.6736736736736,13712.500164206782,4.0,23.186389514514513,33.22412605285645,84.73473473473474,19.51951951951952,1780.0
86,2157.0,4943.0,3851.646121807753,459.6109035775409,3902.0,1.0,271578.0,309.50929816228853,7588.71746200063,3.0,22.62677879872858,33.49028015136719,80.86661064630448,18.921486244565415,2786.0
87,2220.0,4619.0,3854.758411609761,352.9134994675013,3879.0,1.0,19451.0,159.7111972565976,1379.7278230869565,3.0,18.625013977933502,29.784685134887695,63.923264251279754,9.626758113413846,2399.0
88,2071.0,4107.0,2908.63807890223,447.2258474061112,2891.0,1.0,323989.0,1357.208023632552,15139.309393767904,4.0,20.09216774664888,31.046125411987305,72.32704402515722,12.064036592338478,2036.0
89,2102.0,4675.0,3522.6596268734934,534.054615530651,3538.0,1.0,156141.0,154.1661251441149,2002.6455672095672,3.0,21.583390105858925,31.023408508300786,80.63096111518708,12.655906089508436,2573.0
90,1171.0,4161.0,2895.3815696855936,642.7457004768947,3074.0,1.0,39400.0,143.32543406851244,1288.0321427769552,3.0,20.48503856757391,34.14391326904297,65.86109807602065,19.433364617550446,2990.0
91,1174.0,4395.0,3157.3641849625906,534.4743453052976,3233.0,1.0,39406.0,210.0169017539556,2196.5884138397223,3.0,19.797361400711395,32.099281311035156,67.3764258555133,13.997301606770515,3221.0
92,2557.0,4598.0,3635.631812878493,425.30086290948447,3668.0,1.0,17413.0,117.71598422134564,1060.84558755614,3.0,22.373487763209067,32.609484100341795,81.67120395577531,16.82871270626146,2041.0
93,2567.0,5591.0,3748.5603259719182,600.3175899383081,3715.0,1.0,54543.0,270.23098497142456,2969.8137242896178,3.0,22.36413867917872,33.118768310546876,80.79799618993862,18.18598744090877,3024.0
94,704.0,3848.0,1834.437597696421,618.8412588161451,1763.0,1.0,385947.0,3536.807651172357,34663.94897299631,4.0,27.790508021390373,37.704088592529295,94.47963800904976,36.289592760180994,3144.0
95,539.0,4064.0,1890.0170970913364,640.7960619029909,1874.0,1.0,1190350.0,6317.302400306932,85372.37240276934,4.0,26.910318202527396,39.17066955566406,90.70570462556651,35.642519722801715,3525.0
